Vtune,Frequency
1.0184,1.933968
1.021,1.934444
1.0315,1.936316
1.0912,1.946885
1.1529,1.957261
1.209,1.966818
1.2632,1.975797
1.3137,1.984061
1.3818,1.995358
1.4412,2.005273
1.5016,2.015128
1.6173,2.03408
1.6939,2.046566
1.7675,2.058666
1.8014,2.064746
1.8923,2.078852
1.9758,2.092126
2.0488,2.103483
2.142,2.118496
2.2085,2.128009
2.2583,2.13553
2.3132,2.143513
2.4161,2.159224
2.4762,2.168069
2.6214,2.189385
2.7085,2.201871
2.8007,2.21461
2.8526,2.222027
2.9008,2.228865
2.9522,2.236237
3.0003,2.243016
3.052,2.250284
3.1003,2.257152
3.1526,2.264495
3.2007,2.271258
3.2526,2.278527
3.3006,2.285171
3.3521,2.292351
3.4001,2.298995
3.4519,2.306175
3.5003,2.312567
3.5524,2.319598
3.6004,2.326108
3.6524,2.333139
3.7004,2.33965
3.7518,2.346636
3.7997,2.353087
3.8517,2.360148
3.9001,2.366599
3.9521,2.373496
4.0001,2.379814
4.052,2.386755
4.1001,2.393117
4.1515,2.399881
4.1994,2.406258
4.251,2.413274
4.2993,2.419769
4.3513,2.426919
4.399,2.43337
4.4512,2.440565
4.4993,2.447284
4.5506,2.454344
4.5987,2.461197
4.6506,2.46848
4.6992,2.475288
4.751,2.482557
4.7992,2.489335
4.8992,2.503546
4.9985,2.517518
5.099,2.53158
5.199,2.545404
5.299,2.559258
5.3986,2.573008
5.4989,2.586549
5.5992,2.600061
5.699,2.613528
5.798,2.626802
5.8982,2.640076
5.9985,2.65338
6.0983,2.666446
6.1979,2.679467
6.2984,2.692697
6.3984,2.705777
6.4983,2.718724
6.5976,2.731523
6.698,2.74444
6.7982,2.757268
6.8982,2.769977
6.9977,2.782686
7.0981,2.795336
7.1981,2.808045
7.298,2.82065
7.3974,2.833166
7.4976,2.84589
7.5979,2.858584
7.6979,2.87113
7.7973,2.88369
7.8976,2.896415
7.9978,2.909064
8.0978,2.931658
8.1973,2.943966
8.2974,2.956512
8.3974,2.968953
8.4975,2.981365
8.5968,2.993495
8.6972,3.005936
8.7974,3.018289
8.8973,3.030596
8.9966,3.042607
9.097,3.05487
9.197,3.0672
9.2971,3.079352
9.3963,3.091452
9.4966,3.103492
9.5967,3.115443
9.6966,3.127483
9.796,3.139256
9.8964,3.151133
9.9965,3.162905
10.0965,3.1745
10.1959,3.185975
10.2963,3.197554
10.3963,3.209074
10.4962,3.220401
10.5955,3.231609
10.6959,3.242757
10.796,3.253712
10.8959,3.264668
10.9953,3.2754
11.0957,3.286162
11.1957,3.296909
11.2958,3.307537
11.3961,3.318001
11.4955,3.328347
11.5955,3.338678
11.6955,3.349068
11.7955,3.359459
11.8953,3.36973
11.9954,3.379734
12.0954,3.389723
12.1954,3.399652
12.2951,3.409463
12.3951,3.419154
12.495,3.428876
12.5951,3.438538
12.6948,3.44814
12.7951,3.457609
12.8948,3.467048
12.9949,3.476472
13.0945,3.485643
13.1945,3.494725
13.2946,3.503704
13.3946,3.512518
13.4944,3.52114
13.5945,3.529642
13.6944,3.5381
13.7944,3.546424
13.8942,3.5546
13.9943,3.562582
14.0943,3.57046
14.1942,3.578234
14.2939,3.585845
14.394,3.593351
14.4941,3.600724
14.5939,3.607948
14.6937,3.615054
14.7939,3.622025
14.8938,3.628788
14.9938,3.635537
